name,price,img
ارز من ابو على - 2 كجم,85.50,https://cf2.s3.souqcdn.com/item/2018/09/02/37/63/34/98/item_L_37633498_146491352.jpg
خل التفاح من تشويس، قطعتين - 500 مل,56.50,https://cf5.s3.souqcdn.com/item/2020/11/04/13/20/14/30/5/item_L_132014305_fe6bcf79985ef.jpg
ارز من كيرنيل - 1 كغ,41.00,https://cf1.s3.souqcdn.com/item/2018/10/31/37/56/06/78/item_L_37560678_3c964b7f52d2d.jpg
مشروم من تشويس - 400 جرام,45.00,https://cf4.s3.souqcdn.com/item/2020/11/04/13/20/14/30/8/item_L_132014308_fe1e8e76ff931.jpg
ارز من كيرنيل - 1 كغ,37.10,https://cf1.s3.souqcdn.com/item/2018/08/30/37/56/06/68/item_L_37560668_146348696.jpg
طحين من ابو علي - 1 كجم,13.00,https://cf2.s3.souqcdn.com/item/2018/08/30/37/56/06/65/item_L_37560665_146348691.jpg
طحين من ابو علي - 1.5 كجم,29.50,https://cf2.s3.souqcdn.com/item/2018/08/30/37/56/06/81/item_L_37560681_146348723.jpg
فانيلين بالسكر من دكتور اويتكر، 2 جم - 50 كيس,49.50,https://cf3.s3.souqcdn.com/item/2020/12/07/13/19/97/87/7/item_L_131997877_c3475104a1cd5.jpg
طلع النخل من امتنان- 30 جم,46.00,https://cf2.s3.souqcdn.com/item/2018/06/27/36/16/70/71/item_L_36167071_142389191.jpg
مربى بنكهة الكرز الاسود من هيرو - لايت، 320 جرام,31.45,https://cf5.s3.souqcdn.com/item/2019/05/09/22/05/32/26/item_L_22053226_fab546e53de1d.jpg
Kellogg's Frosties Milky Layer Cereals - 180 gm,24.00,https://cf3.s3.souqcdn.com/item/2018/07/17/36/60/05/35/item_L_36600535_143485269.jpg
حبوب اللقاح من امتنان- 40 جم,55.00,https://cf5.s3.souqcdn.com/item/2018/06/27/36/16/82/33/item_L_36168233_142390838.jpg
حبوب اللقاح من امتنان- 150 غم,198.00,https://cf1.s3.souqcdn.com/item/2018/06/27/36/16/70/20/item_L_36167020_142389130.jpg
Mornflake Jumbo Oats - 500 gm,26.95,https://cf2.s3.souqcdn.com/item/2018/06/28/36/19/70/53/item_L_36197053_142451560.jpg
ارز من كيرنيل - 10 كجم,176.50,https://cf1.s3.souqcdn.com/item/2018/08/30/37/56/06/67/item_L_37560667_146348694.jpg
أرز بسمتي ذهبي فاخر من  إيوان - 1 كجم,50.00,https://cf1.s3.souqcdn.com/item/2018/10/03/39/15/75/04/item_L_39157504_152085033.jpg
ارز من كيرنيل - 1 كجم,36.58,https://cf2.s3.souqcdn.com/item/2018/08/30/37/56/12/79/item_L_37561279_146350390.jpg
ارز من كيرنيل - 2 كجم,34.00,https://cf1.s3.souqcdn.com/item/2018/08/30/37/56/06/96/item_L_37560696_146348771.jpg
بقسماط من ايزي كوك - 200 جم,5.00,https://cf3.s3.souqcdn.com/item/2018/07/19/36/65/11/25/item_L_36651125_143605060.jpg
كريات الحبوب بطعم الشوكولاته من نسكويك - 180 جم,19.00,https://cf3.s3.souqcdn.com/item/2018/10/29/30/60/64/92/item_L_30606492_65041682d06cf.jpg
فاصوليا حمراء من دريا - 400 جم,19.50,https://cf5.s3.souqcdn.com/item/2018/10/03/39/15/74/99/item_L_39157499_152085029.jpg
بسلة خضراء سادة من دريا - 400 جم,14.00,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/75/08/item_L_39157508_152085035.jpg
ارز من كيرنيل - 1 كجم,18.50,https://cf3.s3.souqcdn.com/item/2018/08/30/37/56/06/52/item_L_37560652_146348639.jpg
أرز ذهبي من دريا - 1 كجم,38.08,https://cf4.s3.souqcdn.com/item/2018/10/03/39/15/75/35/item_L_39157535_152085064.jpg
مربى بنكهة المشمش من هيرو، لايت - 350 جرام,28.00,https://cf1.s3.souqcdn.com/item/2019/02/04/22/05/32/11/item_L_22053211_901bb478a739c.jpg
Mazola Maye Chup Mayonnaise - 340 ml,57.50,https://cf2.s3.souqcdn.com/item/2017/11/06/27/45/27/73/item_L_27452773_66684287.jpg
أرز بسمتي فاخر من  نهرين - 500 جم,36.02,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/74/81/item_L_39157481_152085008.jpg
كيزان الذرة اللبنية، صغار الذرة من دريا - 425 جم,27.95,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/74/91/item_L_39157491_152085018.jpg
أرز بسمتي فاخر من  أضياف - 500 جم,23.50,https://cf5.s3.souqcdn.com/item/2018/10/03/39/15/75/22/item_L_39157522_152085053.jpg
أرز بسمتي ذهبي فاخر من دريا - 5 كجم,267.00,https://cf5.s3.souqcdn.com/item/2018/10/03/39/15/74/79/item_L_39157479_152085004.jpg
حمص الشام 500 جم,30.95,https://cf1.s3.souqcdn.com/item/2017/11/05/26/16/24/80/item_L_26162480_65724770.jpg
فاصوليا بيضاء 500 جم,23.00,https://cf1.s3.souqcdn.com/item/2017/11/05/26/16/24/82/item_L_26162482_65724370.jpg
ارز من كيرنيل - 5 كجم,184.00,https://cf2.s3.souqcdn.com/item/2018/08/30/37/56/06/55/item_L_37560655_146348647.jpg
أرز بسمتي ذهبي فاخر من  إيوان - 2 كجم,98.00,https://cf5.s3.souqcdn.com/item/2018/10/03/39/15/75/33/item_L_39157533_152085061.jpg
أرز بسمتي فاخر من اضياف - 5 كجم,249.50,https://cf4.s3.souqcdn.com/item/2018/10/03/39/15/75/21/item_L_39157521_152085051.jpg
كينوا ابيض من لايف جرين، 400 جم,63.75,https://cf5.s3.souqcdn.com/item/2019/11/29/22/23/24/25/item_L_22232425_0e8c827428f66.jpg
"توابل الدجاج من ابو عوف, 85  جرام",17.50,https://cf3.s3.souqcdn.com/item/2017/12/13/29/48/88/38/item_L_29488838_85707664.jpg
شوكو سكوبس من تيميز، 30 جرام,4.50,https://cf4.s3.souqcdn.com/item/2018/09/13/38/55/80/13/item_L_38558013_150326299.jpg
دقيق شوفان لايف جرين من ابو عوف- 400 جم,30.00,https://cf2.s3.souqcdn.com/item/2019/09/26/36/92/58/57/item_L_36925857_be2876ec3c914.jpg
نخالة الشعير من امتنان، 150 جم,23.00,https://cf5.s3.souqcdn.com/item/2018/07/08/36/38/81/23/item_L_36388123_142941061.jpg
شوكو بيلو من تيميز-375جم,36.50,https://cf1.s3.souqcdn.com/item/2017/04/27/22/59/33/02/item_L_22593302_31021328.jpg
"موثر ريسيبي معجون التمر الهندي , 320 غرام",76.00,https://cf5.s3.souqcdn.com/item/2016/11/02/11/79/57/68/item_L_11795768_17222989.jpg
زيت خليط قلية، 700 مل,14.95,https://cf4.s3.souqcdn.com/item/2018/11/29/22/16/25/26/item_L_22162526_aeef66faff431.jpg
زيت ذرة أصيل، 750 مل,19.00,https://cf4.s3.souqcdn.com/item/2018/11/29/22/16/25/06/item_L_22162506_903074a7f030d.jpg
سكر ابيض من دوبيلا، 120 كيس - 5 جرام,24.50,https://cf5.s3.souqcdn.com/item/2020/03/23/12/20/28/41/8/item_L_122028418_4b897fc604710.jpg
صلصة طماطم من مستر فود - 370 جم,8.00,https://cf1.s3.souqcdn.com/item/2020/06/24/13/12/75/60/2/item_L_131275602_fc9dc9ab7bd30.jpg
بذور الرشاد خالية من الجلوتين من دوبيلا - 400 جرام,34.00,https://cf5.s3.souqcdn.com/item/2020/11/05/13/20/29/35/4/item_L_132029354_71a26941fdeb6.jpg
